timestamp,n,mother_count,father_count,mother_names,father_names,content_value
2025-06-10T03:02:59Z,10,22,11,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,中联豆6024/中联豆6036/中联豆6041/中联豆5076/中联豆5084/中联豆5507/GLHJD_SY04/GLHJD_SY05/GLHJD_SY10/GLHJD_SY13/GLHJD_SY03,test
2025-06-10T03:56:05Z,10,22,11,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,中联豆6024/中联豆6036/中联豆6041/中联豆5076/中联豆5084/中联豆5507/GLHJD_SY04/GLHJD_SY05/GLHJD_SY10/GLHJD_SY13/GLHJD_SY03,test
2025-06-10T04:04:54Z,0,1,2,齐黄34,中农科177/中农科085,N2561种腐病
2025-06-10T04:05:11Z,2,1,2,齐黄34,中农科177/中农科085,N2561种腐病
2025-06-10T04:45:05Z,80,22,11,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,冀农科018/油6019/南农47/冀农科022/冀农科091/中黄340/华豆17/徐豆31/徐豆32/GM25H056/GM25H057,N2561
2025-06-10T04:48:21Z,76,22,11,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,冀农科018/油6019/南农47/冀农科022/冀农科091/中黄340/华豆17/徐豆31/徐豆32/GM25H056/GM25H057,N2561
2025-06-11T01:31:01Z,76,22,11,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,冀农科018/油6019/南农47/冀农科022/冀农科091/中黄340/华豆17/徐豆31/徐豆32/GM25H056/GM25H057,test
2025-07-24T03:28:29Z,363,18,22,承豆10号/华豆17/洛豆1号/宿豆051/徐豆18/徐豆27/郓豆1号/皖宿112/圣豆101/圣豆3/中豆57/科豆35/冀豆27/中黄301/冀豆12/冀豆17/邯豆15/邯豆19,中联豆6036/中联豆6041/中联豆6044/中联豆5076/中联豆5077/中联豆5079/中联豆5083/中联豆5084/中联豆5086/22GSJZ鉴1072/22GSJZ鉴0115/中联豆5507/中作23TP1108/中作23TJ133/24联鉴1/24联鉴2/中联豆6024/(冀1258/交育7401)F2/CAL16/中联豆5046/交育7401GS/交育1号GS,25可做转基因组合
2025-07-26T06:22:24Z,3,3,2,冀豆12/冀豆17/徐豆18,中联豆5077/中联豆6024,25test
2025-07-26T06:23:35Z,3,3,2,冀豆12/冀豆17/徐豆18,中联豆5077/中联豆6024,25test
2025-08-02T13:08:45Z,1,1,4,中联豆6044,冀豆17/五星4/中黄203/中联豆5046,thisisatest
2025-08-03T03:19:23Z,10,22,21,濮豆103/皖豆66/宿豆051/皖宿112/洛豆1号/圣豆101/科豆42/中黄331/郑1659/菏豆38/天成7号/涡豆11号/涡豆14/华豆31/中豆59/涡豆12号/皖豆61/郑1825/圣豆101/圣豆3/中豆57/南农66,中联豆6024/中联豆6036/中联豆6041/中联豆5076/中联豆5084/中联豆5507/GLHJD_SY04/GLHJD_SY05/GLHJD_SY10/GLHJD_SY13/GLHJD_SY03/中联豆6044/中联豆5077/中联豆5079/中联豆5083/中联豆5086/22GSJZ鉴1072/22GSJZ鉴0115/中作23TP1108/中作23TJ133/24联鉴2,test
2025-08-03T03:19:50Z,3,3,2,冀豆12/冀豆17/徐豆18,中联豆5077/中联豆6024,25test
